ethnography-39	private-life-under-socialism	Private Life under Socialism	2003	Yunxiang Yan（阎云翔）	Stanford University Press
ethnography-41	strangers-in-the-city	Strangers in the City	2002	Li Zhang（张鹂）	Stanford University Press
ethnography-50	a-disability-of-the-soul	A Disability of the Soul	2013	Karen Nakamura	Cornell University Press
ethnography-53	healing-labor	Healing Labor	2020	Gabriele Koch	Stanford University Press
ethnography-68	on-the-edge-of-the-global	On the Edge of the Global	2011	Niko Besnier	Stanford University Press
ethnography-87	after-the-revolution	After the Revolution	2014	Jessica Greenberg	Cornell University Press
ethnography-91	the-reckoning-of-pluralism	The Reckoning of Pluralism	2014	Kabir Tambar	Stanford University Press
ethnography-92	the-vanishing-hectare	The Vanishing Hectare	2003	Katherine Verdery	Cornell University Press
ethnography-95	border-work	Border Work	2014	Madeline Reeves	Cornell University Press
ethnography-96	in-the-time-of-oil	In the Time of Oil	2010	Mandana Limbert	Cornell University Press
ethnography-102	bazaar-politics	Bazaar Politics	2011	Noah Coburn	Stanford University Press
ethnography-123	border-capitalism-disrupted	Border Capitalism, Disrupted	2018	Stephen Campbell	Cornell University Press
ethnography-124	rights-refused	Rights Refused	2023	Elliott Prasse-Freeman	Stanford University Press
ethnography-128	passionate-uprisings	Passionate Uprisings	2009	Pardis Mahdavi	Stanford University Press
