slug	cover_url	source_page	isbn13	publisher	english_title	author	year
the-pastoral-clinic	https://webfiles.ucpress.edu/coverimage/isbn13/9780520262089.jpg	https://www.ucpress.edu/books/the-pastoral-clinic/paper	9780520262089	University of California Press	The Pastoral Clinic	Angela Garcia	2010
life-in-debt	https://webfiles.ucpress.edu/coverimage/isbn13/9780520272101.jpg	https://www.ucpress.edu/books/life-in-debt/paper	9780520272101	University of California Press	Life in Debt	Clara Han	2012
fresh-fruit-broken-bodies	https://webfiles.ucpress.edu/coverimage/isbn13/9780520275140.jpg	https://www.ucpress.edu/books/fresh-fruit-broken-bodies/paper	9780520275140	University of California Press	Fresh Fruit, Broken Bodies	Seth Holmes	2013
pathologies-of-power	https://webfiles.ucpress.edu/coverimage/isbn13/9780520243262.jpg	https://www.ucpress.edu/books/pathologies-of-power-2/paper	9780520243262	University of California Press	Pathologies of Power	Paul Farmer	2003
twice-dead	https://webfiles.ucpress.edu/coverimage/isbn13/9780520228146.jpg	https://www.ucpress.edu/books/twice-dead/paper	9780520228146	University of California Press	Twice Dead	Margaret Lock	2002
alien-ocean	https://webfiles.ucpress.edu/coverimage/isbn13/9780520250628.jpg	https://www.ucpress.edu/books/alien-ocean/paper	9780520250628	University of California Press	Alien Ocean	Stefan Helmreich	2009
moral-laboratories	https://webfiles.ucpress.edu/coverimage/isbn13/9780520281202.jpg	https://www.ucpress.edu/books/moral-laboratories/paper	9780520281202	University of California Press	Moral Laboratories	Cheryl Mattingly	2014
righteous-dopefiend	https://webfiles.ucpress.edu/coverimage/isbn13/9780520254985.jpg	https://www.ucpress.edu/books/righteous-dopefiend/paper	9780520254985	University of California Press	Righteous Dopefiend	P. Bourgois	2009
life-beside-itself	https://webfiles.ucpress.edu/coverimage/isbn13/9780520282940.jpg	https://www.ucpress.edu/books/life-beside-itself/paper	9780520282940	University of California Press	Life Beside Itself	Lisa Stevenson	2014
life-and-words	https://webfiles.ucpress.edu/coverimage/isbn13/9780520247451.jpg	https://www.ucpress.edu/books/life-and-words/paper	9780520247451	University of California Press	Life and Words	Veena Das	2006
soul-hunters	https://webfiles.ucpress.edu/coverimage/isbn13/9780520252172.jpg	https://www.ucpress.edu/books/soul-hunters/paper	9780520252172	University of California Press	Soul Hunters	Rane Willerslev	2007
the-biopolitics-of-beauty	https://webfiles.ucpress.edu/coverimage/isbn13/9780520293885.jpg	https://www.ucpress.edu/books/the-biopolitics-of-beauty/paper	9780520293885	University of California Press	The Biopolitics of Beauty	Alvaro Jarrín	2017
love-s-uncertainty	https://webfiles.ucpress.edu/coverimage/isbn13/9780520283503.jpg	https://www.ucpress.edu/books/loves-uncertainty/paper	9780520283503	University of California Press	Love's Uncertainty	Teresa Kuan（关宜馨）	2015
tsukiji	https://webfiles.ucpress.edu/coverimage/isbn13/9780520220249.jpg	https://www.ucpress.edu/books/tsukiji/paper	9780520220249	University of California Press	Tsukiji	Theodore C. Bestor	2004
millennial-monsters	https://webfiles.ucpress.edu/coverimage/isbn13/9780520245655.jpg	https://www.ucpress.edu/books/millennial-monsters/paper	9780520245655	University of California Press	Millennial Monsters	Anne Allison	2006
the-intimate-economies-of-bangkok	https://webfiles.ucpress.edu/coverimage/isbn13/9780520239685.jpg	https://www.ucpress.edu/books/the-intimate-economies-of-bangkok/paper	9780520239685	University of California Press	The Intimate Economies of Bangkok	Ara Wilson	2004
sonic-socialism	https://webfiles.ucpress.edu/coverimage/isbn13/9780520416192.jpg	https://www.ucpress.edu/books/sonic-socialism/paper	9780520416192	University of California Press	Sonic Socialism	Christina Schwenkel	2025
when-bodies-remember	https://webfiles.ucpress.edu/coverimage/isbn13/9780520250277.jpg	https://www.ucpress.edu/books/when-bodies-remember/paper	9780520250277	University of California Press	When Bodies Remember	Didier Fassin	2007
the-land-of-open-graves	https://webfiles.ucpress.edu/coverimage/isbn13/9780520282759.jpg	https://www.ucpress.edu/books/the-land-of-open-graves/paper	9780520282759	University of California Press	The Land of Open Graves	Jason De Léon	2015
the-underneath-of-things	https://webfiles.ucpress.edu/coverimage/isbn13/9780520225435.jpg	https://www.ucpress.edu/books/the-underneath-of-things/paper	9780520225435	University of California Press	The Underneath of Things	Mariane C. Ferme	2001
death-without-weeping	https://webfiles.ucpress.edu/coverimage/isbn13/9780520075375.jpg	https://www.ucpress.edu/books/death-without-weeping/paper	9780520075375	University of California Press	Death Without Weeping	Nancy Scheper-Hughes	1992
