ethnography-06	the-pastoral-clinic	The Pastoral Clinic	2010	Angela Garcia	University of California Press
ethnography-07	life-in-debt	Life in Debt	2012	Clara Han	University of California Press
ethnography-08	fresh-fruit-broken-bodies	Fresh Fruit, Broken Bodies	2013	Seth Holmes	University of California Press
ethnography-09	pathologies-of-power	Pathologies of Power	2003	Paul Farmer	University of California Press
ethnography-10	twice-dead	Twice Dead	2002	Margaret Lock	University of California Press
ethnography-17	alien-ocean	Alien Ocean	2009	Stefan Helmreich	University of California Press
ethnography-20	moral-laboratories	Moral Laboratories	2014	Cheryl Mattingly	University of California Press
ethnography-22	righteous-dopefiend	Righteous Dopefiend	2009	P. Bourgois	University of California Press
ethnography-25	life-beside-itself	Life Beside Itself	2014	Lisa Stevenson	University of California Press
ethnography-28	life-and-words	Life and Words	2006	Veena Das	University of California Press
ethnography-36	soul-hunters	Soul Hunters	2007	Rane Willerslev	University of California Press
ethnography-38	the-biopolitics-of-beauty	The Biopolitics of Beauty	2017	Alvaro Jarrín	University of California Press
ethnography-46	love-s-uncertainty	Love's Uncertainty	2015	Teresa Kuan（关宜馨）	University of California Press
ethnography-52	tsukiji	Tsukiji	2004	Theodore C. Bestor	University of California Press
ethnography-54	millennial-monsters	Millennial Monsters	2006	Anne Allison	University of California Press
ethnography-76	the-intimate-economies-of-bangkok	The Intimate Economies of Bangkok	2004	Ara Wilson	University of California Press
ethnography-80	sonic-socialism	Sonic Socialism	2025	Christina Schwenkel	University of California Press
ethnography-82	when-bodies-remember	When Bodies Remember	2007	Didier Fassin	University of California Press
ethnography-86	the-land-of-open-graves	The Land of Open Graves	2015	Jason De Léon	University of California Press
ethnography-97	the-underneath-of-things	The Underneath of Things	2001	Mariane C. Ferme	University of California Press
ethnography-127	death-without-weeping	Death Without Weeping	1992	Nancy Scheper-Hughes	University of California Press
